order,depth,ctop,crfact,nbdiv,cpfact,nbmin,N,NB,nprow,npcol,wtime,Gflops
R,0,0,L,2,L,2,29,1,1,1,0.01,1.4651e-03
R,0,0,L,2,L,4,29,1,1,1,0.01,3.1435e-03
R,0,0,L,2,C,2,29,1,1,1,0.01,2.4388e-03
R,0,0,L,2,C,4,29,1,1,1,0.01,3.4650e-03
R,0,0,L,2,R,2,29,1,1,1,0.00,5.1300e-03
R,0,0,L,2,R,4,29,1,1,1,0.00,8.9442e-03
R,0,0,C,2,L,2,29,1,1,1,0.00,5.0004e-03
R,0,0,C,2,L,4,29,1,1,1,0.00,3.9809e-03
R,0,0,C,2,C,2,29,1,1,1,0.00,4.7508e-02
R,0,0,C,2,C,4,29,1,1,1,0.00,4.2780e-02
R,0,0,C,2,R,2,29,1,1,1,0.00,5.2745e-02
R,0,0,C,2,R,4,29,1,1,1,0.00,4.3765e-02
R,0,0,R,2,L,2,29,1,1,1,0.00,4.7274e-02
R,0,0,R,2,L,4,29,1,1,1,0.00,5.1498e-02
R,0,0,R,2,C,2,29,1,1,1,0.00,6.2933e-02
R,0,0,R,2,C,4,29,1,1,1,0.00,6.0375e-02
R,0,0,R,2,R,2,29,1,1,1,0.00,6.2482e-02
R,0,0,R,2,R,4,29,1,1,1,0.00,5.2072e-02
R,0,0,L,2,L,2,29,2,1,1,0.00,9.7751e-02
R,0,0,L,2,L,4,29,2,1,1,0.00,8.8275e-02
R,0,0,L,2,C,2,29,2,1,1,0.00,1.0596e-01
R,0,0,L,2,C,4,29,2,1,1,0.00,1.0758e-01
R,0,0,L,2,R,2,29,2,1,1,0.00,1.0804e-01
R,0,0,L,2,R,4,29,2,1,1,0.00,1.0349e-01
R,0,0,C,2,L,2,29,2,1,1,0.00,8.1680e-02
R,0,0,C,2,L,4,29,2,1,1,0.00,1.0578e-01
R,0,0,C,2,C,2,29,2,1,1,0.00,6.9706e-02
R,0,0,C,2,C,4,29,2,1,1,0.00,8.8602e-02
R,0,0,C,2,R,2,29,2,1,1,0.00,1.0748e-01
R,0,0,C,2,R,4,29,2,1,1,0.00,1.0732e-01
R,0,0,R,2,L,2,29,2,1,1,0.00,1.0060e-01
R,0,0,R,2,L,4,29,2,1,1,0.00,1.0560e-01
R,0,0,R,2,C,2,29,2,1,1,0.00,1.0381e-01
R,0,0,R,2,C,4,29,2,1,1,0.00,1.0654e-01
R,0,0,R,2,R,2,29,2,1,1,0.00,1.0794e-01
R,0,0,R,2,R,4,29,2,1,1,0.00,1.0482e-01
R,0,0,L,2,L,2,29,3,1,1,0.00,4.7915e-02
R,0,0,L,2,L,4,29,3,1,1,0.00,1.0386e-01
R,0,0,L,2,C,2,29,3,1,1,0.00,1.1951e-01
R,0,0,L,2,C,4,29,3,1,1,0.00,1.0491e-01
R,0,0,L,2,R,2,29,3,1,1,0.00,1.1953e-01
R,0,0,L,2,R,4,29,3,1,1,0.00,1.3412e-01
R,0,0,C,2,L,2,29,3,1,1,0.00,1.1705e-01
R,0,0,C,2,L,4,29,3,1,1,0.00,1.3423e-01
R,0,0,C,2,C,2,29,3,1,1,0.00,8.3529e-02
R,0,0,C,2,C,4,29,3,1,1,0.00,9.7779e-02
R,0,0,C,2,R,2,29,3,1,1,0.00,4.9003e-02
R,0,0,C,2,R,4,29,3,1,1,0.00,8.2315e-02
R,0,0,R,2,L,2,29,3,1,1,0.00,5.2168e-02
R,0,0,R,2,L,4,29,3,1,1,0.00,1.2289e-01
R,0,0,R,2,C,2,29,3,1,1,0.00,8.4854e-02
R,0,0,R,2,C,4,29,3,1,1,0.00,4.9748e-02
R,0,0,R,2,R,2,29,3,1,1,0.00,1.0961e-01
R,0,0,R,2,R,4,29,3,1,1,0.00,1.3498e-01
R,0,0,L,2,L,2,29,4,1,1,0.00,1.3377e-01
R,0,0,L,2,L,4,29,4,1,1,0.00,1.2091e-01
R,0,0,L,2,C,2,29,4,1,1,0.00,1.0432e-01
R,0,0,L,2,C,4,29,4,1,1,0.00,1.2714e-01
R,0,0,L,2,R,2,29,4,1,1,0.00,1.3099e-01
R,0,0,L,2,R,4,29,4,1,1,0.00,8.0380e-02
R,0,0,C,2,L,2,29,4,1,1,0.00,1.2917e-01
R,0,0,C,2,L,4,29,4,1,1,0.00,9.7857e-02
R,0,0,C,2,C,2,29,4,1,1,0.00,1.3571e-01
R,0,0,C,2,C,4,29,4,1,1,0.00,1.5900e-01
R,0,0,C,2,R,2,29,4,1,1,0.00,1.4341e-01
R,0,0,C,2,R,4,29,4,1,1,0.00,1.5080e-01
R,0,0,R,2,L,2,29,4,1,1,0.00,1.3791e-01
R,0,0,R,2,L,4,29,4,1,1,0.00,1.5565e-01
R,0,0,R,2,C,2,29,4,1,1,0.00,1.1014e-01
R,0,0,R,2,C,4,29,4,1,1,0.00,1.5517e-01
R,0,0,R,2,R,2,29,4,1,1,0.00,1.3542e-01
R,0,0,R,2,R,4,29,4,1,1,0.00,1.5109e-01
R,0,0,L,2,L,2,30,1,1,1,0.00,6.7766e-02
R,0,0,L,2,L,4,30,1,1,1,0.00,6.0604e-02
R,0,0,L,2,C,2,30,1,1,1,0.00,5.9955e-02
R,0,0,L,2,C,4,30,1,1,1,0.00,6.6641e-02
R,0,0,L,2,R,2,30,1,1,1,0.00,6.5498e-02
R,0,0,L,2,R,4,30,1,1,1,0.00,6.1003e-02
R,0,0,C,2,L,2,30,1,1,1,0.00,6.6983e-02
R,0,0,C,2,L,4,30,1,1,1,0.00,6.8188e-02
R,0,0,C,2,C,2,30,1,1,1,0.00,6.7960e-02
R,0,0,C,2,C,4,30,1,1,1,0.00,7.0357e-02
R,0,0,C,2,R,2,30,1,1,1,0.00,7.0137e-02
R,0,0,C,2,R,4,30,1,1,1,0.00,7.0650e-02
R,0,0,R,2,L,2,30,1,1,1,0.00,6.2348e-02
R,0,0,R,2,L,4,30,1,1,1,0.00,7.0093e-02
R,0,0,R,2,C,2,30,1,1,1,0.00,6.4007e-02
R,0,0,R,2,C,4,30,1,1,1,0.00,6.9738e-02
R,0,0,R,2,R,2,30,1,1,1,0.00,6.4785e-02
R,0,0,R,2,R,4,30,1,1,1,0.00,7.0217e-02
R,0,0,L,2,L,2,30,2,1,1,0.00,1.1153e-01
R,0,0,L,2,L,4,30,2,1,1,0.00,1.1558e-01
R,0,0,L,2,C,2,30,2,1,1,0.00,1.1302e-01
R,0,0,L,2,C,4,30,2,1,1,0.00,1.1785e-01
R,0,0,L,2,R,2,30,2,1,1,0.00,1.1944e-01
R,0,0,L,2,R,4,30,2,1,1,0.00,1.1982e-01
R,0,0,C,2,L,2,30,2,1,1,0.00,1.1505e-01
R,0,0,C,2,L,4,30,2,1,1,0.00,1.1789e-01
R,0,0,C,2,C,2,30,2,1,1,0.00,9.8165e-02
R,0,0,C,2,C,4,30,2,1,1,0.00,3.3907e-02
R,0,0,C,2,R,2,30,2,1,1,0.00,5.2122e-02
R,0,0,C,2,R,4,30,2,1,1,0.00,1.0573e-01
R,0,0,R,2,L,2,30,2,1,1,0.00,1.1657e-01
R,0,0,R,2,L,4,30,2,1,1,0.00,1.0836e-01
R,0,0,R,2,C,2,30,2,1,1,0.00,1.1887e-01
R,0,0,R,2,C,4,30,2,1,1,0.00,1.1612e-01
R,0,0,R,2,R,2,30,2,1,1,0.00,1.1955e-01
R,0,0,R,2,R,4,30,2,1,1,0.00,1.1974e-01
R,0,0,L,2,L,2,30,3,1,1,0.00,1.2013e-01
R,0,0,L,2,L,4,30,3,1,1,0.00,1.4125e-01
R,0,0,L,2,C,2,30,3,1,1,0.00,9.9510e-02
R,0,0,L,2,C,4,30,3,1,1,0.00,1.1288e-01
R,0,0,L,2,R,2,30,3,1,1,0.00,1.3139e-01
R,0,0,L,2,R,4,30,3,1,1,0.00,1.5168e-01
R,0,0,C,2,L,2,30,3,1,1,0.00,4.8599e-02
R,0,0,C,2,L,4,30,3,1,1,0.00,1.1935e-01
R,0,0,C,2,C,2,30,3,1,1,0.00,1.2974e-01
R,0,0,C,2,C,4,30,3,1,1,0.00,1.5205e-01
R,0,0,C,2,R,2,30,3,1,1,0.00,9.3967e-02
R,0,0,C,2,R,4,30,3,1,1,0.00,1.2764e-01
R,0,0,R,2,L,2,30,3,1,1,0.00,1.0008e-01
R,0,0,R,2,L,4,30,3,1,1,0.00,1.2841e-01
R,0,0,R,2,C,2,30,3,1,1,0.00,1.0396e-01
R,0,0,R,2,C,4,30,3,1,1,0.00,1.2736e-01
R,0,0,R,2,R,2,30,3,1,1,0.00,1.0222e-01
R,0,0,R,2,R,4,30,3,1,1,0.00,1.5024e-01
R,0,0,L,2,L,2,30,4,1,1,0.00,1.3856e-01
R,0,0,L,2,L,4,30,4,1,1,0.00,1.5631e-01
R,0,0,L,2,C,2,30,4,1,1,0.00,1.4641e-01
R,0,0,L,2,C,4,30,4,1,1,0.00,1.7321e-01
R,0,0,L,2,R,2,30,4,1,1,0.00,1.5478e-01
R,0,0,L,2,R,4,30,4,1,1,0.00,1.7424e-01
R,0,0,C,2,L,2,30,4,1,1,0.00,1.5183e-01
R,0,0,C,2,L,4,30,4,1,1,0.00,1.6292e-01
R,0,0,C,2,C,2,30,4,1,1,0.00,1.2425e-01
R,0,0,C,2,C,4,30,4,1,1,0.00,1.7364e-01
R,0,0,C,2,R,2,30,4,1,1,0.00,1.5596e-01
R,0,0,C,2,R,4,30,4,1,1,0.00,1.7613e-01
R,0,0,R,2,L,2,30,4,1,1,0.00,1.5463e-01
R,0,0,R,2,L,4,30,4,1,1,0.00,1.7159e-01
R,0,0,R,2,C,2,30,4,1,1,0.00,1.5752e-01
R,0,0,R,2,C,4,30,4,1,1,0.00,1.7059e-01
R,0,0,R,2,R,2,30,4,1,1,0.00,1.5840e-01
R,0,0,R,2,R,4,30,4,1,1,0.00,1.7610e-01
R,0,0,L,2,L,2,34,1,1,1,0.00,7.5590e-02
R,0,0,L,2,L,4,34,1,1,1,0.00,8.8192e-02
R,0,0,L,2,C,2,34,1,1,1,0.00,8.8271e-02
R,0,0,L,2,C,4,34,1,1,1,0.00,8.9263e-02
R,0,0,L,2,R,2,34,1,1,1,0.00,8.9756e-02
R,0,0,L,2,R,4,34,1,1,1,0.00,7.6077e-02
R,0,0,C,2,L,2,34,1,1,1,0.00,8.8419e-02
R,0,0,C,2,L,4,34,1,1,1,0.00,8.8498e-02
R,0,0,C,2,C,2,34,1,1,1,0.00,8.9528e-02
R,0,0,C,2,C,4,34,1,1,1,0.00,8.9110e-02
R,0,0,C,2,R,2,34,1,1,1,0.00,8.0099e-02
R,0,0,C,2,R,4,34,1,1,1,0.00,8.9382e-02
R,0,0,R,2,L,2,34,1,1,1,0.00,8.8779e-02
R,0,0,R,2,L,4,34,1,1,1,0.00,8.9738e-02
R,0,0,R,2,C,2,34,1,1,1,0.00,8.9499e-02
R,0,0,R,2,C,4,34,1,1,1,0.00,7.3140e-02
R,0,0,R,2,R,2,34,1,1,1,0.00,6.9189e-02
R,0,0,R,2,R,4,34,1,1,1,0.00,8.8905e-02
R,0,0,L,2,L,2,34,2,1,1,0.00,1.3331e-01
R,0,0,L,2,L,4,34,2,1,1,0.00,1.4831e-01
R,0,0,L,2,C,2,34,2,1,1,0.00,1.4909e-01
R,0,0,L,2,C,4,34,2,1,1,0.00,1.4554e-01
R,0,0,L,2,R,2,34,2,1,1,0.00,1.5186e-01
R,0,0,L,2,R,4,34,2,1,1,0.01,1.9602e-03
R,0,0,C,2,L,2,34,2,1,1,0.00,1.0569e-01
R,0,0,C,2,L,4,34,2,1,1,0.00,6.2319e-02
R,0,0,C,2,C,2,34,2,1,1,0.00,8.9601e-02
R,0,0,C,2,C,4,34,2,1,1,0.00,1.4827e-01
R,0,0,C,2,R,2,34,2,1,1,0.00,7.0719e-02
R,0,0,C,2,R,4,34,2,1,1,0.00,1.0834e-01
R,0,0,R,2,L,2,34,2,1,1,0.00,1.3044e-01
R,0,0,R,2,L,4,34,2,1,1,0.00,8.9971e-02
R,0,0,R,2,C,2,34,2,1,1,0.00,1.4481e-01
R,0,0,R,2,C,4,34,2,1,1,0.00,1.4719e-01
R,0,0,R,2,R,2,34,2,1,1,0.00,9.7094e-02
R,0,0,R,2,R,4,34,2,1,1,0.00,1.4593e-01
R,0,0,L,2,L,2,34,3,1,1,0.00,1.2060e-01
R,0,0,L,2,L,4,34,3,1,1,0.00,1.2822e-01
R,0,0,L,2,C,2,34,3,1,1,0.00,1.5539e-01
R,0,0,L,2,C,4,34,3,1,1,0.00,1.8069e-01
R,0,0,L,2,R,2,34,3,1,1,0.00,1.4682e-01
R,0,0,L,2,R,4,34,3,1,1,0.00,1.4601e-01
R,0,0,C,2,L,2,34,3,1,1,0.00,1.2620e-01
R,0,0,C,2,L,4,34,3,1,1,0.00,1.4970e-01
R,0,0,C,2,C,2,34,3,1,1,0.00,1.5598e-01
R,0,0,C,2,C,4,34,3,1,1,0.00,1.7640e-01
R,0,0,C,2,R,2,34,3,1,1,0.00,1.6297e-01
R,0,0,C,2,R,4,34,3,1,1,0.00,1.8822e-01
R,0,0,R,2,L,2,34,3,1,1,0.00,1.4109e-01
R,0,0,R,2,L,4,34,3,1,1,0.00,1.8212e-01
R,0,0,R,2,C,2,34,3,1,1,0.00,1.6268e-01
R,0,0,R,2,C,4,34,3,1,1,0.00,1.8825e-01
R,0,0,R,2,R,2,34,3,1,1,0.00,1.5669e-01
R,0,0,R,2,R,4,34,3,1,1,0.00,1.8863e-01
R,0,0,L,2,L,2,34,4,1,1,0.00,1.8417e-01
R,0,0,L,2,L,4,34,4,1,1,0.00,2.1443e-01
R,0,0,L,2,C,2,34,4,1,1,0.00,7.9686e-02
R,0,0,L,2,C,4,34,4,1,1,0.00,2.1598e-01
R,0,0,L,2,R,2,34,4,1,1,0.00,1.8135e-01
R,0,0,L,2,R,4,34,4,1,1,0.00,2.2245e-01
R,0,0,C,2,L,2,34,4,1,1,0.00,1.8534e-01
R,0,0,C,2,L,4,34,4,1,1,0.00,2.1274e-01
R,0,0,C,2,C,2,34,4,1,1,0.00,1.9708e-01
R,0,0,C,2,C,4,34,4,1,1,0.00,2.2235e-01
R,0,0,C,2,R,2,34,4,1,1,0.00,1.9591e-01
R,0,0,C,2,R,4,34,4,1,1,0.00,2.1060e-01
R,0,0,R,2,L,2,34,4,1,1,0.00,1.9435e-01
R,0,0,R,2,L,4,34,4,1,1,0.00,2.0153e-01
R,0,0,R,2,C,2,34,4,1,1,0.00,1.9772e-01
R,0,0,R,2,C,4,34,4,1,1,0.00,2.2175e-01
R,0,0,R,2,R,2,34,4,1,1,0.00,2.0171e-01
R,0,0,R,2,R,4,34,4,1,1,0.00,2.2379e-01
R,0,0,L,2,L,2,35,1,1,1,0.00,6.7129e-02
R,0,0,L,2,L,4,35,1,1,1,0.00,9.2721e-02
R,0,0,L,2,C,2,35,1,1,1,0.00,9.3944e-02
R,0,0,L,2,C,4,35,1,1,1,0.00,8.4499e-02
R,0,0,L,2,R,2,35,1,1,1,0.00,8.7625e-02
R,0,0,L,2,R,4,35,1,1,1,0.00,9.4177e-02
R,0,0,C,2,L,2,35,1,1,1,0.00,8.4321e-02
R,0,0,C,2,L,4,35,1,1,1,0.00,9.4317e-02
R,0,0,C,2,C,2,35,1,1,1,0.00,9.3714e-02
R,0,0,C,2,C,4,35,1,1,1,0.00,6.6024e-03
R,0,0,C,2,R,2,35,1,1,1,0.00,3.9032e-02
R,0,0,C,2,R,4,35,1,1,1,0.00,8.5541e-02
R,0,0,R,2,L,2,35,1,1,1,0.00,9.0812e-02
R,0,0,R,2,L,4,35,1,1,1,0.00,9.3908e-02
R,0,0,R,2,C,2,35,1,1,1,0.00,9.4299e-02
R,0,0,R,2,C,4,35,1,1,1,0.00,9.2813e-02
R,0,0,R,2,R,2,35,1,1,1,0.00,9.0311e-02
R,0,0,R,2,R,4,35,1,1,1,0.00,8.1995e-02
R,0,0,L,2,L,2,35,2,1,1,0.00,1.0013e-01
R,0,0,L,2,L,4,35,2,1,1,0.00,1.1493e-01
R,0,0,L,2,C,2,35,2,1,1,0.00,8.9680e-02
R,0,0,L,2,C,4,35,2,1,1,0.00,1.1795e-01
R,0,0,L,2,R,2,35,2,1,1,0.00,1.0566e-01
R,0,0,L,2,R,4,35,2,1,1,0.00,9.3130e-02
R,0,0,C,2,L,2,35,2,1,1,0.00,1.1726e-01
R,0,0,C,2,L,4,35,2,1,1,0.00,1.3278e-01
R,0,0,C,2,C,2,35,2,1,1,0.00,1.5049e-01
R,0,0,C,2,C,4,35,2,1,1,0.00,1.5524e-01
R,0,0,C,2,R,2,35,2,1,1,0.00,1.5735e-01
R,0,0,C,2,R,4,35,2,1,1,0.00,1.5796e-01
R,0,0,R,2,L,2,35,2,1,1,0.00,1.5458e-01
R,0,0,R,2,L,4,35,2,1,1,0.00,1.5590e-01
R,0,0,R,2,C,2,35,2,1,1,0.00,1.5466e-01
R,0,0,R,2,C,4,35,2,1,1,0.00,1.2592e-01
R,0,0,R,2,R,2,35,2,1,1,0.00,1.1974e-01
R,0,0,R,2,R,4,35,2,1,1,0.00,1.5710e-01
R,0,0,L,2,L,2,35,3,1,1,0.00,1.5727e-01
R,0,0,L,2,L,4,35,3,1,1,0.00,1.9626e-01
R,0,0,L,2,C,2,35,3,1,1,0.00,1.4925e-01
R,0,0,L,2,C,4,35,3,1,1,0.00,1.9950e-01
R,0,0,L,2,R,2,35,3,1,1,0.00,1.7769e-01
R,0,0,L,2,R,4,35,3,1,1,0.00,4.9433e-02
R,0,0,C,2,L,2,35,3,1,1,0.00,7.4242e-02
R,0,0,C,2,L,4,35,3,1,1,0.00,1.1458e-01
R,0,0,C,2,C,2,35,3,1,1,0.00,1.5761e-01
R,0,0,C,2,C,4,35,3,1,1,0.00,2.0036e-01
R,0,0,C,2,R,2,35,3,1,1,0.00,1.7738e-01
R,0,0,C,2,R,4,35,3,1,1,0.00,2.0308e-01
R,0,0,R,2,L,2,35,3,1,1,0.00,1.7677e-01
R,0,0,R,2,L,4,35,3,1,1,0.00,1.9953e-01
R,0,0,R,2,C,2,35,3,1,1,0.00,1.7877e-01
R,0,0,R,2,C,4,35,3,1,1,0.00,2.0261e-01
R,0,0,R,2,R,2,35,3,1,1,0.00,1.5303e-01
R,0,0,R,2,R,4,35,3,1,1,0.00,2.0187e-01
R,0,0,L,2,L,2,35,4,1,1,0.00,2.0247e-01
R,0,0,L,2,L,4,35,4,1,1,0.00,2.3115e-01
R,0,0,L,2,C,2,35,4,1,1,0.00,1.8443e-01
R,0,0,L,2,C,4,35,4,1,1,0.00,2.3692e-01
R,0,0,L,2,R,2,35,4,1,1,0.00,2.1326e-01
R,0,0,L,2,R,4,35,4,1,1,0.00,2.4175e-01
R,0,0,C,2,L,2,35,4,1,1,0.00,2.0788e-01
R,0,0,C,2,L,4,35,4,1,1,0.00,2.2998e-01
R,0,0,C,2,C,2,35,4,1,1,0.00,1.9792e-01
R,0,0,C,2,C,4,35,4,1,1,0.00,2.3707e-01
R,0,0,C,2,R,2,35,4,1,1,0.00,2.1214e-01
R,0,0,C,2,R,4,35,4,1,1,0.00,2.4277e-01
R,0,0,R,2,L,2,35,4,1,1,0.00,2.0522e-01
R,0,0,R,2,L,4,35,4,1,1,0.00,1.2174e-01
R,0,0,R,2,C,2,35,4,1,1,0.00,1.5358e-01
R,0,0,R,2,C,4,35,4,1,1,0.00,1.4914e-01
R,0,0,R,2,R,2,35,4,1,1,0.00,1.4012e-01
R,0,0,R,2,R,4,35,4,1,1,0.00,2.3101e-01
